Date,Status,Action,Message,Connection,Details,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-14 19:47:40,INFO,wake_up,Attempting to wake up spoke site,Spoke 2,"{""connection_name"":""Spoke 2"",""url"":""https:\/\/spoke2.wpenginepowered.com""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-14 19:47:40,INFO,wake_up,Spoke site is already awake,Spoke 2,"{""connection_name"":""Spoke 2"",""response_code"":200}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-14 19:47:39,INFO,debug_content,DEBUG: Original post content: testing and hoping for a duplicate.,-,"{""full_content_length"":35}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-14 19:47:39,INFO,gallery_sync,No gallery images found in post content,-,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-14 19:47:39,INFO,,Custom Smart Links processing started for: hub20spokesite,-,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-14 19:47:39,INFO,debug_content,DEBUG: Final content being sent to spoke: testing and hoping for a duplicate.,hub20spokesite,"{""connection_name"":""hub20spokesite"",""full_content_length"":35}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-14 19:47:39,INFO,wake_up,Attempting to wake up spoke site,hub20spokesite,"{""connection_name"":""hub20spokesite"",""url"":""https:\/\/hub20spokesite.wpenginepowered.com""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-14 19:47:38,INFO,status_transition,Status transition: draft → publish,-,"{""post_id"":46636,""post_title"":""1.9.2.9"",""old_status"":""draft"",""new_status"":""publish"",""post_type"":""post""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-14 19:47:38,INFO,first_publish,Triggering syndication for first publish (draft → publish),-,"{""post_id"":46636,""post_title"":""1.9.2.9"",""old_status"":""draft"",""new_status"":""publish""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-14 19:47:38,INFO,status_transition,Status transition: draft → publish,-,"{""post_id"":46636,""post_title"":""1.9.2.9"",""old_status"":""draft"",""new_status"":""publish"",""post_type"":""post""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-14 19:47:38,INFO,first_publish,Triggering syndication for first publish (draft → publish),-,"{""post_id"":46636,""post_title"":""1.9.2.9"",""old_status"":""draft"",""new_status"":""publish""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-14 19:47:10,INFO,status_transition,Status transition: auto-draft → draft,-,"{""post_id"":46636,""post_title"":""1.9.2.9"",""old_status"":""auto-draft"",""new_status"":""draft"",""post_type"":""post""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-14 19:47:10,INFO,status_transition,Status transition: auto-draft → draft,-,"{""post_id"":46636,""post_title"":""1.9.2.9"",""old_status"":""auto-draft"",""new_status"":""draft"",""post_type"":""post""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-14 19:47:02,INFO,status_transition,Status transition: new → auto-draft,-,"{""post_id"":46636,""post_title"":""Auto Draft"",""old_status"":""new"",""new_status"":""auto-draft"",""post_type"":""post""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-11-14 19:47:02,INFO,status_transition,Status transition: new → auto-draft,-,"{""post_id"":46636,""post_title"":""Auto Draft"",""old_status"":""new"",""new_status"":""auto-draft"",""post_type"":""post""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
